Geographic Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
California,"12,250,974","12,400,531","12,552,174","12,721,844","12,920,250","13,128,316","13,334,467","13,491,056","13,596,788","13,655,854","13,688,147","13,728,423","13,771,156","13,827,794","13,906,691","13,985,614","14,075,264","14,172,348","14,275,353","14,366,336",14383358
".Alameda County, California","541,385","546,269","550,054","553,821","558,677","564,447","569,206","575,668","579,064","581,305","582,867","584,528","586,639","589,352","592,396","595,760","600,467","605,974","615,030","622,922",616277
".Alpine County, California","1,519","1,540","1,589","1,646","1,670","1,688","1,701","1,726","1,755","1,758","1,760","1,761","1,764","1,765","1,764","1,766","1,769","1,770","1,778","1,782",1788
".Amador County, California","15,166","15,456","15,722","16,046","16,526","17,042","17,477","17,724","17,891","17,982","18,046","18,070","18,141","18,241","18,239","18,249","18,274","18,318","18,452","18,625",18362
".Butte County, California","85,759","86,745","87,691","88,729","90,373","92,258","93,812","94,841","95,524","95,795","95,922","96,415","96,645","96,989","97,517","98,073","98,692","99,438","100,074","86,209",86511
".Calaveras County, California","22,988","23,429","23,991","24,527","25,240","26,097","26,975","27,473","27,751","27,879","27,938","27,978","28,000","28,024","28,079","28,143","27,731","27,917","28,063","28,181",28279
".Colusa County, California","6,789","6,856","6,935","7,022","7,200","7,438","7,590","7,709","7,830","7,859","7,877","7,883","7,887","7,892","7,937","7,983","8,022","8,056","8,061","8,125",8244
".Contra Costa County, California","355,867","361,186","366,002","371,890","379,241","384,970","391,029","394,773","397,994","399,624","400,525","402,036","402,830","404,915","406,788","408,729","411,110","413,957","415,893","418,707",419341
".Del Norte County, California","10,444","10,483","10,532","10,606","10,734","10,939","11,048","11,068","11,114","11,191","11,190","11,218","11,301","11,323","11,334","11,337","11,362","11,395","11,418","11,434",11437
".El Dorado County, California","71,727","73,535","75,905","78,037","80,257","82,697","84,695","86,057","87,014","87,789","88,192","88,305","88,434","88,683","88,861","89,020","89,573","90,320","91,119","91,660",92659
